Novotel London Excel,Sul,25-34,man,,4,17 November 2018,Cool Place,"November 2018, travelled as a couple","It's a cool place. I drove in to London so I can't say what the public transport is like getting here but driving, is not very far from the A2 if you're coming in from the East. Parked at the hotel, seemed secure and it was. Check in was fine. I would say customer service is excellent. The lady called 'Sahara' was very professional and helpful. The room was really awesome. I was worried at first by the window from the bathroom to the bedroom, but realised you could switch the glass on to cloud the window. I've had better sleeps, and the bed was ok, not great. Size was good but my back was a bit painful. The breakfast was very good. Lots of choice. The hotel at the rear offers views of the river and planes regularly fly over as it is near London City Airport. This was cool. I would stay here again."
Novotel London Excel,7gpp,,,"Victoria,",5,17 November 2018,Exam Time,"November 2018, travelled on business","I booked a 5 day stay for my daughter who was doing an exam at the Excel Centre, Sahara (reception) very kindly organised a quiet room for her and it was perfect. At the end of the 5 days my daughter said the food was great, service superb and would certainly stay there again."
Novotel London Blackfriars,Anders R,35-49,man,"Hoersholm Municipality,",5,19 November 2018,Great fun and friendly staff,"November 2018, travelled as a couple","Great hotel with excellent service in both reception, restaurant staff and in particular bar staff. I must single out Christian, who gave really professional and extra service to our company of 8 pers."
Novotel London Excel,rokoroart,50-64,man,"Bristol, United",5,19 November 2018,Wonderful place to stay,December 2017,"I have had occasion to stay at the Novotel a few times over the years, and I think that this hotel is top notch. The rooms are spacious for London, always very clean and stylish. The front desk personnel are professional and friendly. The hotel parking is a real plus if you are staying for business because it is conveniently located near the entrance to the Excel, and it not too expensive for the daily rate. The restaurant is nothing special and the fitness center is small and basically equipped, but otherwise I think the hotel is terrific. Will definitely be staying there again in the future."
InterContinental London - The O2,Maps60087346834,,,,5,19 November 2018,Birthday Celebration,"November 2018, travelled with family","I would like to say a massive thank you to Becky Hammond my birthday event planner and her team that supervised my birthday. You all did a fantastic job to make things easy for me which contributed to the success of the event. The food was delicious and was served on time. The team helped to set up the floor plan on time which was mapped out by Becky. If i had any question, i could drop Becky an email and she will reply within 24hours. I liked my room and I had little surprise cake from the hotel in the room. That was beautiful!  Thank you again Becky. Rume."
InterContinental London - The O2,4258,,,"Stockholm,",2,19 November 2018,"Good facility, but very poor service","November 2018, travelled on business","Rooms, restaurangs and bars are average/good. However, service is very poor. Not unfriendly, but way too slow (always). Staff is ok, but too few. 20 minutes to get a coffee in the morning. To get a drink in the bar in the evening also took a very long time (we gave up one evening). Sky bar on 18th floor different - lot's of service and friendly faces."
InterContinental London - The O2,AlanF,25-34,man,"St Andrews, United",5,7 November 2018,"Excellent Hotel, Amazing Breakfast & Free Shuttle to the tube station","November 2018, travelled on business",
InterContinental London - The O2,Maps52666184759,,,"Leeds, United",5,19 November 2018,Stunning hotel with fab staff,"November 2018, travelled with friends","Check in staff were really lovely and helpful. The room was clean and spacious and felt luxurious. the location was perfect for attending the O2, just a short, mostly under cover, walk.  We loved having drinks in the Sky Bar too! Room rates are a bit pricey though!"
Novotel London Excel,GreenholmeBee,50-64,man,"Yateley, United",5,17 October 2018,Where Do I Start?,"October 2018, travelled as a couple",
Novotel London Excel,zakiabouhali,,,"Marrakech,",5,18 November 2018,Nice Room,"November 2018, travelled on business","The rooms become very nice after renovation. All team is professional and very helpful. I love too the restaurant view, good breakfast. Thank you to the general manger, who is always available for the hotel guests. "
